"","FICO","BAE201405ProjLoss","PMI6_1","DTIwoProspLoanAllEmp","REV201","SampleWeight","EALR"
"11030",638,0,0.1105966003,0.12,6455,1,0
"11031",796,0,0.0329541763,0.02,1330,4.166667,0
"11032",652,0.00270344776346393,0.1225063715,0.37,40239,2,0.00270344776346393
"11033",651,0.0087636846920187,0.1249024048,0.18,1411,2,0.0087636846920187
"11034",660,0.105043,0.0958931627,0.24,5898,1,0.105043
"11035",676,0.007809,0.1186177543,0.31,6988,1,0.007809
"11036",658,0.0556032272830872,0.1033414389,0.1,13385,4.166667,0.0556032272830872
"11037",723,0.020302,0.0671092931,0.05,254,1,0.020302
"11038",720,0,0.1024378321,0.11,0,2,0
"11039",636,0.0161864543847937,0.1211261598,0.07,14030,1,0.0161864543847937
"11040",670,0.0291074966958574,0.1072704391,0.26,4039,2,0.0291074966958574
"11041",736,0,0.1020315437,0.3,2,4.166667,0
"11042",658,0.00417547526082641,0.1110474847,0.09,12322,2,0.00417547526082641
"11043",674,0,0.0871884539,0.38,14657,2,0
"11044",674,0,0.1255447904,0.27,8526,2,0
"11045",695,0.171847929603218,0.1059829415,0.24,2319,2,0.171847929603218
"11046",668,0.0252045144893343,0.0795592454,0.01,571,2,0.0252045144893343
"11047",684,0.052181,0.0860453519,0.46,19374,1,0.052181
"11048",674,0.00303117945208983,0.1047095107,0.05,9319,2,0.00303117945208983
"11049",641,0.00944435652630564,0.103658394,0.18,5335,2,0.00944435652630564
"11050",697,0.0786493274460397,0.0894743942,0.29,10360,2,0.0786493274460397
"11051",658,0,0.12501971,0.19,35772,2,0
"11052",664,0.0142227136940764,0.1144069007,0.3,9395,2,0.0142227136940764
"11053",639,0.0178552314297156,0.0937544878,0.04,1671,4.166667,0.0178552314297156
"11054",688,1.1646,0.1058909555,0.38,60756,1,1.1646
"11055",647,0.00581011599939642,0.1133184504,0.17,22696,2,0.00581011599939642
"11056",676,0.62876,0.0811096461,0.38,7959,1,0.62876
"11057",643,0.102593008310419,0.109676198,0.27,24089,2,0.102593008310419
"11058",722,0.019716,0.1164450672,0.32,9410,1,0.019716
"11059",681,0,0.1048241574,0.26,11709,2,0
"11060",696,0.200096,0.1067915725,0.28,69530,1,0.200096
"11061",712,0.00609588465129716,0.0636715917,0.06,0,2,0.00609588465129716
"11062",638,0,0.0958544579,0.07,5741,2.5,0
"11063",670,0,0.0767285914,0.18,23505,2,0
"11064",664,0.0109077411894628,0.1257283103,0.38,485,2,0.0109077411894628
"11065",634,0.791165,0.1272024127,0.26,19155,1,0.791165
"11066",640,0.00503879989051886,0.1109169313,0.06,6156,2,0.00503879989051886
"11067",689,0.94085,0.1056007847,0.14,5726,1,0.94085
"11068",697,0,0.0926216843,0.33,8151,5,0
"11069",715,0.044193,0.1207349695,0.24,3978,1,0.044193
"11070",763,1.1646,0.0342206516,0.01,242,1,1.1646
"11071",667,0.691719,0.1164861273,0.2,10102,1,0.691719
"11072",679,0.00270344776346393,0.1266966603,0.47,8674,2,0.00270344776346393
"11073",663,0.0467266813483547,0.0763346018,0.06,6512,2,0.0467266813483547
"11074",745,0,0.1037411858,0.17,5127,4.166667,0
"11075",644,0.0161594856911234,0.0988801398,0.35,6612,2,0.0161594856911234
"11076",705,0.113831393782085,0.0662787784,0,0,4.166667,0.113831393782085
"11077",690,0,0.1145580544,0.29,31350,2,0
"11078",643,0,0.0500248752,0,104,4.166667,0
"11079",642,0,0.064870736,0.02,0,1,0
"11080",666,0,0.1000396674,0.03,406,1,0
"11081",687,0,0.1234635229,0.08,3527,4.166667,0
"11082",630,0,0.1094862472,0.05,1279,6.666667,0
"11083",636,0.0136764146796817,0.1116592433,0.07,5921,4.166667,0.0136764146796817
"11084",639,0,0.1291816903,0.04,4729,2.5,0
"11085",655,0.507266498147011,0.1030920466,0.43,29467,2,0.507266498147011
"11086",685,0,0.0983285524,0.26,17446,2,0
"11087",683,0.0164618066153877,0.105654077,0.22,30111,2,0.0164618066153877
"11088",693,0,0.1147671581,0.19,43876,2,0
"11089",643,0,0.1295827977,0.11,1805,1,0
"11090",712,0,0.0625406335,0.03,0,1,0
"11091",770,0.0260330195753707,0.0702152763,0.01,415,2,0.0260330195753707
"11092",649,0.0303085089946926,0.11228244,0.1,36319,2,0.0303085089946926
"11093",670,0,0.1208407991,0.09,1431,2,0
"11094",722,0.46882540072906,0.0525549874,0.15,5149,4.166667,0.46882540072906
"11095",633,0.00270344776346393,0.1041528541,0.09,27447,1,0.00270344776346393
"11096",660,0,0.1264853156,0.32,11708,6.666667,0
"11097",655,0,0.1254858035,0.18,616,2,0
"11098",677,0.00270344776346393,0.1244512073,0.24,3023,2,0.00270344776346393
"11099",668,0.0303085089946926,0.0423550914,0.02,4192,2,0.0303085089946926
"11100",644,0,0.1116546082,0.09,832,2,0
"11101",686,0.850526,0.0914747998,0.22,22056,1,0.850526
"11102",695,0,0.1114384973,0.15,5282,4.166667,0
"11103",653,0,0.12494333,0.28,514,1,0
"11104",667,0,0.0712206389,0.11,461,1,0
"11105",669,0,0.0351867135,0.02,1377,4.166667,0
"11106",663,0.024749,0.1186201104,0.12,4760,1,0.024749
"11107",666,0,0.1006634721,0.14,12077,1,0
"11108",683,0.044072,0.0611411609,0.43,13940,1,0.044072
"11109",647,0.348588085890738,0.123788137,0.13,9198,2,0.348588085890738
"11110",708,0.471666,0.1040477874,0.41,74807,1,0.471666
"11111",721,0.0149673141483957,0.0794586299,0.07,2136,2,0.0149673141483957
"11112",685,0.0590660724642572,0.1277354456,0.33,8196,2,0.0590660724642572
"11113",696,0,0.1189044544,0.3,13753,2,0
"11114",754,0,0.0389603751,0.07,25492,1,0
"11115",713,0,0.1216524938,0.43,13875,1,0
"11116",625,0,0.1181333958,0,394,1,0
"11117",636,0.0113422427132383,0.1250708183,0.1,13262,2.5,0.0113422427132383
"11118",641,0,0.1015603396,0.27,5459,2,0
"11119",762,0.128724932817511,0.0701227614,0.05,0,2,0.128724932817511
"11120",651,0,0.121377122,0.21,11501,2,0
"11121",664,0,0.1033492761,0.02,1131,1,0
"11122",811,0.0291074966958574,0.0415985814,0.01,60,2,0.0291074966958574
"11123",654,0,0.1083986786,0.07,13366,1,0
"11124",686,0,0.1002003415,0.32,10993,2,0
"11125",640,0,0.1230972632,0.14,1749,4.166667,0
"11126",671,0.276857455698065,0.1208528422,0.12,13744,2,0.276857455698065
"11127",620,0.0107622734430596,0.1293997158,0.08,1667,2.5,0.0107622734430596
"11128",629,0,0.1103240159,0.06,9414,2.5,0
"11129",692,0,0.1112085657,0.18,4682,1,0
"11130",651,0.0568702268651653,0.1140317885,0.2,8203,2,0.0568702268651653
"11131",691,0,0.1176508831,0.3,18372,1,0
"11132",703,0.052979,0.0899944811,0.3,3151,1,0.052979
"11133",666,1.1646,0.1094928958,0.06,10730,2,1.1646
"11134",685,0.0933291020011926,0.1292874045,0.33,10803,2,0.0933291020011926
"11135",712,0.635731648488056,0.1182111245,0.28,9950,2,0.635731648488056
"11136",652,1.1646,0.1022840043,0.47,24813,2,1.1646
"11137",664,0,0.0682205316,0.28,43439,2,0
"11138",667,0.054700832315946,0.1059618083,0.1,0,5,0.054700832315946
"11139",633,0,0.1206886913,0.12,12321,1,0
"11140",641,0.0135987851855974,0.1285814055,0.06,3640,1,0.0135987851855974
"11141",662,0,0.1207774267,0.23,9133,2,0
"11142",665,0.0546870464712855,0.0593196793,0.01,27,2,0.0546870464712855
"11143",697,0,0.1007589871,0.31,11463,2,0
"11144",653,0,0.120644419,0.3,17250,6.666667,0
"11145",646,0.00408330867075169,0.1296953623,0.12,7052,2,0.00408330867075169
"11146",739,0.048172,0.0678564435,0.11,23997,1,0.048172
"11147",648,0,0.1034935466,0.06,446,2,0
"11148",612,0.0329828285423268,0.0782463432,0.06,167671,4.166667,0.0329828285423268
"11149",650,0.712256,0.1195904,0.05,4969,1,0.712256
"11150",655,0,0.1230707537,0.16,7097,2,0
"11151",697,0.00270344776346393,0.0996038093,0.48,17605,2,0.00270344776346393
"11152",698,0.00605497475816486,0.1113161506,0.49,29393,2,0.00605497475816486
"11153",698,0.0156035613262163,0.0371184462,0.11,13254,2,0.0156035613262163
"11154",621,0.00417547526082641,0.1286561271,0.16,4048,2.5,0.00417547526082641
"11155",636,0,0.1229340263,0.01,1441,4.166667,0
"11156",669,0.00270344776346393,0.1112108435,0.38,15735,2,0.00270344776346393
"11157",726,0.0134045391950632,0.0565662025,0.03,91,4.166667,0.0134045391950632
"11158",631,0,0.11374199,0.28,6491,2.5,0
"11159",789,0.0397731626833344,0.0320110094,0.01,1349,1,0.0397731626833344
"11160",675,0,0.1135827535,0.39,3236,2,0
"11161",653,0,0.0382392621,0.03,297,6.666667,0
"11162",648,0.00270344776346393,0.1117402433,0.14,12005,2,0.00270344776346393
"11163",720,0,0.103294488,0.3,11681,1,0
"11164",690,0.00417547526082641,0.0898395388,0.16,8752,2,0.00417547526082641
"11165",692,0,0.0907066592,0.26,36427,1,0
"11166",678,0.046422,0.088152769,0.36,19054,1,0.046422
"11167",683,0,0.1285826885,0.2,13886,2,0
"11168",627,0.132873430539148,0.1171945176,0.02,2220,6.666667,0.132873430539148
"11169",653,0,0.1038018281,0.06,812,5,0
"11170",669,0,0.1056727715,0.27,9572,4.166667,0
"11171",696,0.013713798755462,0.0629104434,0.03,4554,2,0.013713798755462
"11172",658,0.0853286203175004,0.1030605355,0,0,4.166667,0.0853286203175004
"11173",671,0,0.1040089946,0.04,6419,2,0
"11174",720,0,0.0885485648,0.01,445,4.166667,0
"11175",674,0,0.1137617095,0.3,9931,2,0
"11176",663,0,0.0399530277,0.03,16346,1,0
"11177",705,0.023316283404352,0.1101394304,0.35,14639,2,0.023316283404352
"11178",691,0.00270344776346393,0.0937769422,0.05,2037,2,0.00270344776346393
"11179",756,0.0205795132753698,0.0420123407,0.01,1510,2,0.0205795132753698
"11180",670,0.0411387540038805,0.1208288986,0.18,7005,2,0.0411387540038805
"11181",643,0.0434600974386479,0.0459106817,0.03,3596,2,0.0434600974386479
"11182",637,0,0.0846137507,0.09,9004,1,0
"11183",643,0.0893242978210731,0.1274433976,0.1,2434,4.166667,0.0893242978210731
"11184",677,0,0.1042328197,0.01,247,2,0
"11185",662,0.017857657916677,0.1261810723,0.06,1198,4.166667,0.017857657916677
"11186",638,0.00270344776346393,0.1284611161,0.16,8387,2.5,0.00270344776346393
"11187",685,0.0604989353128831,0.1036782075,0.37,14817,1,0.0604989353128831
"11188",659,0,0.0853480701,0.03,2450,6.666667,0
"11189",681,0,0.1206944863,0.08,0,4.166667,0
"11190",652,0.123322,0.1190819356,0.12,7455,1,0.123322
"11191",718,0.00680273386518295,0.1068376402,0.44,13555,2,0.00680273386518295
"11192",674,0.106268980935229,0.1232995374,0.12,1005,2,0.106268980935229
"11193",654,1.1646,0.0942606517,0.05,47,2,1.1646
"11194",625,0.00418260410184079,0.1200591419,0.12,14983,1,0.00418260410184079
"11195",659,0.00992397046494489,0.1076876053,0.07,5465,2,0.00992397046494489
"11196",706,1.05632589945411,0.0506707749,0.06,26909,4.166667,1.05632589945411
"11197",678,0.0291074966958574,0.1008043177,0.39,17569,2,0.0291074966958574
"11198",644,0.02209,0.1136383963,0.07,6687,1,0.02209
"11199",677,0.0112763340449102,0.1010300285,0.28,14137,2,0.0112763340449102
"11200",687,1.010085,0.0952153491,0.4,35999,1,1.010085
"11201",636,0.0069820993552566,0.0994110828,0.04,3845,2.5,0.0069820993552566
"11202",691,0.037512,0.0969680974,0.41,51797,1,0.037512
"11203",689,0.00605270432455424,0.1072884322,0.42,7244,1,0.00605270432455424
"11204",695,0,0.1138819279,0.24,11836,2,0
"11205",650,0,0.1201548795,0.16,1240,2,0
"11206",662,0,0.1061194939,0.13,7009,1,0
"11207",680,0,0.1056528567,0.22,3604,2,0
"11208",683,0.833041690630854,0.1175635617,0.4,24514,2,0.833041690630854
"11209",665,0.00581011599939642,0.1127762455,0.35,62065,2,0.00581011599939642
"11210",653,0,0.128423422,0.25,5282,2,0
"11211",639,0.00605270432455424,0.087964954,0.15,234310,1,0.00605270432455424
"11212",722,0,0.1184548868,0.35,7106,2,0
"11213",690,0,0.0949771761,0.06,2421,4.166667,0
"11214",675,0,0.1261248897,0.22,9029,2,0
"11215",703,0,0.1050360952,0.2,4983,2,0
"11216",642,0,0.1288304971,0.09,5633,2,0
"11217",642,0.00270344776346393,0.1125909243,0.11,3894,2,0.00270344776346393
"11218",700,0.0171425531033684,0.0929938316,0.34,40773,2,0.0171425531033684
"11219",704,0,0.1020919059,0.15,2502,2,0
"11220",645,0.0591111132144397,0.0975881639,0.01,196,2,0.0591111132144397
"11221",683,1.1646,0.1263030621,0.17,1857,2,1.1646
"11222",714,0.612849662426087,0.101250518,0.38,11361,2,0.612849662426087
"11223",656,0,0.0854569784,0.26,8921,2,0
"11224",682,0.00417547526082641,0.1061364935,0.12,14038,2,0.00417547526082641
"11225",632,0.00940014992256616,0.1178266128,0.02,3140,2.5,0.00940014992256616
"11226",669,0.0468884096932672,0.1237072859,0.39,12083,4.166667,0.0468884096932672
"11227",652,0.0951320180568031,0.1208769905,0.25,5460,2,0.0951320180568031
"11228",641,0,0.1158149742,0.36,20722,2,0
"11229",659,0.0479113313571084,0.1063981838,0.06,2866,2,0.0479113313571084
"11230",659,0.0942957652423592,0.1277269989,0.13,2322,4.166667,0.0942957652423592
"11231",700,0.244349179121951,0.0904544661,0.38,30259,2,0.244349179121951
"11232",667,0.921215,0.1005627446,0.17,8293,1,0.921215
"11233",654,1.1646,0.1008992426,0.14,4862,1,1.1646
"11234",629,0,0.1223893164,0.03,2380,1,0
"11235",670,0.05564,0.0949641671,0.31,67194,1,0.05564
"11236",693,0.0151435762869852,0.1068558156,0.4,18703,2,0.0151435762869852
"11237",690,0.0155611141627477,0.1083635963,0.46,15367,2,0.0155611141627477
"11238",667,0.552908,0.1161781718,0.19,9516,1,0.552908
"11239",669,0.00630259498892763,0.1211311914,0.11,1808,2,0.00630259498892763
"11240",758,0.0303473220943658,0.0914475217,0.03,310,2,0.0303473220943658
"11241",667,0.00581011599939642,0.1021888429,0.11,8447,2,0.00581011599939642
"11242",707,0.0164618066153877,0.0678927963,0.22,94529,2,0.0164618066153877
